customer_id,tenure,contract,monthly_charges,total_charges,internet_service,tech_support,online_security,payment_method,paperless_billing,senior_citizen,partner,dependents,num_support_calls,churn
CUST-10032,6,Month-to-month,65.77,423.68,No,No,Yes,Mailed check,Yes,0,No,No,1,0
CUST-10033,40,Month-to-month,58.5,2285.07,DSL,No,No,Bank transfer,Yes,0,No,No,0,1
CUST-10034,64,Month-to-month,82.28,5170.52,Fiber optic,Yes,No,Electronic check,Yes,0,Yes,No,2,0
CUST-10035,4,One year,115.22,543.37,No,No,No,Electronic check,No,0,Yes,Yes,0,1
CUST-10036,62,Two year,78.01,4898.0,DSL,No,Yes,Credit card,Yes,0,Yes,No,2,0
CUST-10037,60,Month-to-month,78.64,4655.79,Fiber optic,No,Yes,Mailed check,No,0,Yes,No,0,1
CUST-10038,20,One year,66.54,1279.59,No,No,Yes,Electronic check,Yes,0,No,No,2,0
CUST-10039,46,One year,55.16,2429.75,Fiber optic,No,No,Bank transfer,No,1,Yes,No,0,0
CUST-10040,12,Month-to-month,60.14,728.19,DSL,No,Yes,Mailed check,Yes,0,Yes,No,3,0
CUST-10041,55,One year,69.06,3594.91,Fiber optic,No,Yes,Electronic check,Yes,0,No,No,4,0
CUST-10042,51,One year,116.54,5582.4,Fiber optic,No,No,Mailed check,No,0,No,Yes,0,0
CUST-10043,25,Two year,57.81,1380.67,Fiber optic,Yes,No,Mailed check,Yes,0,No,No,2,0
CUST-10044,4,Two year,66.58,328.58,DSL,No,Yes,Bank transfer,No,0,No,Yes,0,0
CUST-10045,70,Month-to-month,39.04,2768.88,DSL,No,No,Credit card,No,0,No,Yes,0,0
CUST-10046,32,Month-to-month,86.5,2614.73,No,Yes,No,Credit card,No,0,No,Yes,2,1
CUST-10047,65,Month-to-month,106.0,6849.96,DSL,No,No,Credit card,No,0,No,No,1,0
CUST-10048,49,Month-to-month,113.73,5247.25,DSL,No,Yes,Mailed check,Yes,0,Yes,No,1,0
CUST-10049,56,Month-to-month,71.1,3858.85,Fiber optic,No,No,Bank transfer,Yes,0,No,No,0,1
CUST-10050,55,Two year,82.23,4235.17,No,No,Yes,Electronic check,No,0,No,No,1,0
CUST-10051,14,Month-to-month,60.39,839.82,DSL,Yes,No,Bank transfer,Yes,0,Yes,No,3,0
CUST-10052,26,Month-to-month,80.84,2054.05,DSL,No,No,Bank transfer,Yes,0,Yes,No,2,0
CUST-10053,34,Two year,74.42,2527.87,Fiber optic,No,No,Credit card,Yes,0,Yes,Yes,2,0
CUST-10054,36,Month-to-month,66.75,2339.85,Fiber optic,No,No,Electronic check,No,0,No,No,2,1
CUST-10055,3,Month-to-month,69.13,271.27,Fiber optic,Yes,No,Credit card,Yes,0,No,No,3,1
CUST-10056,39,Two year,78.56,2858.51,No,No,Yes,Bank transfer,Yes,0,No,Yes,2,0
CUST-10057,11,Month-to-month,56.18,645.3,DSL,No,Yes,Electronic check,No,1,No,No,1,1
CUST-10058,54,Month-to-month,57.73,2891.52,DSL,Yes,Yes,Credit card,No,0,Yes,Yes,2,0
CUST-10059,49,Month-to-month,116.22,5298.35,Fiber optic,No,No,Mailed check,Yes,0,No,No,0,1
CUST-10060,67,Two year,120.0,7596.07,DSL,No,Yes,Mailed check,Yes,1,No,No,0,0
CUST-10061,54,Month-to-month,28.87,1445.73,Fiber optic,No,No,Electronic check,No,0,No,No,0,0
CUST-10062,26,Month-to-month,27.22,718.44,Fiber optic,No,No,Electronic check,Yes,1,Yes,No,1,1
CUST-10063,70,Month-to-month,36.29,2449.67,DSL,No,No,Electronic check,No,0,No,No,0,1
CUST-10064,29,Month-to-month,61.9,1790.99,Fiber optic,No,No,Mailed check,No,0,Yes,No,0,1
CUST-10065,23,Two year,91.87,1996.8,DSL,No,No,Mailed check,Yes,0,Yes,No,2,0
CUST-10066,66,Month-to-month,82.74,5113.85,Fiber optic,No,No,Mailed check,Yes,0,No,No,0,0
CUST-10067,27,Two year,70.16,1870.83,Fiber optic,No,No,Bank transfer,Yes,1,No,No,2,0
CUST-10068,5,Month-to-month,80.87,440.68,Fiber optic,No,No,Credit card,Yes,1,No,No,2,1
CUST-10069,34,Month-to-month,44.24,1418.42,DSL,Yes,Yes,Credit card,Yes,0,Yes,No,1,0
CUST-10070,58,Two year,57.68,3070.25,No,Yes,Yes,Mailed check,Yes,0,Yes,No,1,0
CUST-10071,13,Month-to-month,64.4,893.62,No,No,No,Credit card,No,0,Yes,No,1,1
CUST-10072,33,Month-to-month,18.0,577.19,No,No,No,Bank transfer,No,0,No,Yes,1,0
CUST-10073,9,Two year,30.16,272.8,No,No,No,Mailed check,Yes,0,Yes,Yes,2,1
CUST-10074,50,Month-to-month,31.35,1512.59,DSL,No,No,Electronic check,Yes,0,Yes,No,5,0
CUST-10075,34,Month-to-month,87.92,3042.6,Fiber optic,No,No,Mailed check,Yes,0,Yes,No,0,0
CUST-10076,24,Two year,72.36,1662.46,DSL,Yes,No,Electronic check,Yes,0,No,No,1,0
CUST-10077,16,Month-to-month,83.33,1308.65,No,No,No,Electronic check,Yes,0,Yes,Yes,1,1
CUST-10078,41,Month-to-month,18.0,754.66,DSL,No,No,Credit card,Yes,0,No,Yes,1,1
CUST-10079,48,Month-to-month,20.49,989.34,DSL,Yes,Yes,Electronic check,Yes,0,Yes,No,2,0
CUST-10080,68,Month-to-month,84.9,5593.62,Fiber optic,No,Yes,Bank transfer,Yes,0,No,No,3,0
CUST-10081,31,Month-to-month,18.0,529.11,DSL,No,Yes,Electronic check,Yes,0,No,No,1,0
CUST-10082,11,One year,101.74,1125.59,Fiber optic,No,No,Bank transfer,No,0,Yes,Yes,1,0
CUST-10083,60,Month-to-month,18.0,1082.79,DSL,No,No,Credit card,No,0,No,No,4,1
CUST-10084,45,One year,90.3,4019.02,Fiber optic,Yes,No,Mailed check,No,1,Yes,No,1,0
CUST-10085,51,Month-to-month,38.34,1864.28,No,No,No,Electronic check,No,0,No,No,1,1
CUST-10086,7,Month-to-month,96.47,696.59,Fiber optic,No,Yes,Electronic check,Yes,0,Yes,Yes,3,1
CUST-10087,22,Month-to-month,120.0,2521.54,DSL,No,No,Credit card,Yes,0,No,No,0,0
CUST-10088,56,One year,18.0,998.22,DSL,Yes,No,Electronic check,No,1,Yes,No,1,0
CUST-10089,60,Month-to-month,85.86,5053.49,DSL,No,No,Mailed check,Yes,0,Yes,No,2,0
CUST-10090,31,Month-to-month,18.0,539.07,DSL,Yes,Yes,Credit card,Yes,0,No,No,2,0
CUST-10091,58,Two year,77.8,4402.9,Fiber optic,Yes,Yes,Bank transfer,No,0,Yes,No,0,0
CUST-10092,61,One year,58.8,3556.33,DSL,No,No,Credit card,No,0,Yes,Yes,0,0
CUST-10093,28,Month-to-month,68.89,1926.65,DSL,No,No,Credit card,No,0,No,No,3,0
CUST-10094,65,Two year,37.65,2295.93,DSL,No,No,Bank transfer,Yes,0,No,No,1,0
CUST-10095,21,Month-to-month,88.42,1935.81,No,Yes,No,Credit card,No,0,Yes,No,1,1
CUST-10096,17,Month-to-month,21.55,350.03,DSL,No,Yes,Electronic check,Yes,0,Yes,No,0,0
CUST-10097,49,Month-to-month,102.25,4885.65,DSL,No,Yes,Electronic check,Yes,0,No,No,0,1
CUST-10098,46,Month-to-month,52.72,2285.39,Fiber optic,No,Yes,Mailed check,No,0,Yes,No,1,0
CUST-10099,10,Month-to-month,22.92,244.75,DSL,No,Yes,Credit card,Yes,1,No,Yes,4,0
CUST-10100,60,One year,112.85,6582.2,No,No,No,Bank transfer,No,0,Yes,No,3,0
CUST-10101,14,Month-to-month,62.98,868.72,DSL,Yes,Yes,Mailed check,No,0,Yes,Yes,1,0
CUST-10102,58,Two year,120.0,6730.17,Fiber optic,Yes,Yes,Electronic check,No,1,No,Yes,1,0
CUST-10103,0,Two year,101.64,96.76,Fiber optic,No,No,Credit card,Yes,1,No,No,2,1
CUST-10104,58,One year,41.06,2282.11,No,No,Yes,Credit card,Yes,0,Yes,Yes,3,0
CUST-10105,57,One year,62.45,3275.17,Fiber optic,No,No,Electronic check,No,0,Yes,Yes,0,0
CUST-10106,56,One year,68.63,3601.61,Fiber optic,No,Yes,Mailed check,Yes,0,No,No,4,0
CUST-10107,48,Two year,110.79,5411.78,Fiber optic,No,Yes,Bank transfer,Yes,0,No,No,1,0
CUST-10108,34,Month-to-month,78.13,2512.64,Fiber optic,No,Yes,Electronic check,Yes,0,Yes,No,0,0
CUST-10109,51,Month-to-month,70.29,3457.25,Fiber optic,No,Yes,Bank transfer,Yes,0,No,Yes,2,0
CUST-10110,20,Month-to-month,59.0,1151.53,Fiber optic,Yes,Yes,Credit card,No,0,Yes,No,1,1
CUST-10111,56,Month-to-month,63.48,3530.38,Fiber optic,No,No,Credit card,Yes,1,No,No,3,1
CUST-10112,40,Month-to-month,104.14,4089.59,DSL,No,No,Credit card,No,1,No,No,1,1
CUST-10113,33,One year,65.11,2150.74,DSL,Yes,Yes,Credit card,Yes,1,No,No,3,0
CUST-10114,36,Month-to-month,53.15,1895.16,Fiber optic,Yes,Yes,Mailed check,Yes,0,No,No,3,0
CUST-10115,41,Two year,48.06,1918.34,DSL,No,Yes,Mailed check,Yes,0,No,No,3,0
CUST-10116,2,Month-to-month,48.39,144.6,Fiber optic,No,No,Mailed check,No,0,No,Yes,1,1
CUST-10117,10,Month-to-month,22.94,244.85,DSL,Yes,Yes,Credit card,Yes,0,Yes,No,0,1
CUST-10118,17,Month-to-month,42.49,741.02,Fiber optic,Yes,Yes,Bank transfer,Yes,0,Yes,No,1,0
CUST-10119,8,Month-to-month,109.95,958.92,Fiber optic,Yes,No,Mailed check,Yes,0,No,No,1,0
CUST-10120,32,Month-to-month,58.8,1836.94,Fiber optic,Yes,No,Bank transfer,Yes,0,No,Yes,2,1
CUST-10121,48,Month-to-month,86.13,4069.57,Fiber optic,No,No,Electronic check,Yes,1,No,No,0,1
CUST-10122,47,Month-to-month,18.0,829.83,DSL,No,Yes,Mailed check,Yes,0,Yes,Yes,1,0
CUST-10123,34,Month-to-month,82.05,2839.67,DSL,No,Yes,Electronic check,Yes,0,Yes,No,3,1
CUST-10124,62,Month-to-month,60.16,3782.06,Fiber optic,Yes,Yes,Credit card,No,0,Yes,Yes,1,0
CUST-10125,41,Month-to-month,50.56,2013.74,No,No,No,Electronic check,Yes,0,Yes,No,0,1
CUST-10126,5,Month-to-month,70.43,405.71,Fiber optic,Yes,No,Credit card,No,0,Yes,No,2,1
CUST-10127,55,Month-to-month,50.13,2608.04,Fiber optic,No,Yes,Electronic check,No,0,No,No,1,0
CUST-10128,41,Month-to-month,18.0,744.31,Fiber optic,No,No,Electronic check,No,0,No,Yes,3,1
CUST-10129,46,Month-to-month,92.67,4229.48,Fiber optic,No,No,Bank transfer,No,0,Yes,No,2,0
CUST-10130,41,Month-to-month,72.29,3013.1,Fiber optic,No,No,Electronic check,Yes,0,Yes,Yes,1,0
CUST-10131,40,One year,55.58,2188.77,Fiber optic,Yes,Yes,Electronic check,Yes,1,No,No,2,0
CUST-10132,6,Two year,36.01,244.73,DSL,Yes,Yes,Mailed check,Yes,0,Yes,Yes,1,0
CUST-10133,40,Two year,20.9,779.36,DSL,No,Yes,Bank transfer,Yes,0,Yes,No,3,0
CUST-10134,58,Month-to-month,71.72,4065.07,Fiber optic,Yes,No,Electronic check,No,0,Yes,No,3,0
CUST-10135,22,Month-to-month,113.4,2445.65,Fiber optic,No,Yes,Electronic check,Yes,0,Yes,No,0,1
CUST-10136,44,Month-to-month,71.09,3041.69,Fiber optic,Yes,Yes,Mailed check,Yes,1,No,No,2,0
CUST-10137,2,One year,23.52,65.81,DSL,No,No,Bank transfer,Yes,0,No,No,2,0
CUST-10138,25,One year,71.75,1732.54,DSL,Yes,No,Electronic check,No,0,No,No,2,0
CUST-10139,31,Two year,63.4,1992.43,Fiber optic,Yes,No,Mailed check,Yes,0,No,Yes,0,0
CUST-10140,71,Two year,90.92,6256.65,DSL,No,No,Electronic check,Yes,0,Yes,No,2,0
CUST-10141,15,Month-to-month,83.2,1231.79,No,No,No,Mailed check,Yes,0,Yes,No,2,0
CUST-10142,20,One year,18.0,369.18,DSL,No,No,Mailed check,No,1,No,Yes,3,0
CUST-10143,29,Two year,81.36,2214.98,Fiber optic,No,Yes,Bank transfer,No,1,Yes,No,0,0
CUST-10144,72,Month-to-month,34.9,2367.62,Fiber optic,Yes,Yes,Electronic check,Yes,0,No,Yes,0,0
CUST-10145,62,Two year,22.35,1314.6,DSL,Yes,No,Credit card,No,0,Yes,No,1,0
CUST-10146,2,Month-to-month,59.35,163.41,DSL,Yes,Yes,Electronic check,Yes,0,Yes,No,0,1
CUST-10147,17,Two year,77.33,1370.04,DSL,No,No,Credit card,Yes,0,No,No,2,0
CUST-10148,59,One year,18.0,1044.78,DSL,Yes,No,Bank transfer,Yes,0,Yes,No,0,0
CUST-10149,4,Month-to-month,86.14,416.5,DSL,Yes,Yes,Mailed check,Yes,0,Yes,No,4,0
CUST-10150,62,One year,87.9,5312.15,Fiber optic,No,No,Mailed check,No,0,Yes,Yes,0,0
CUST-10151,20,Month-to-month,66.41,1307.91,DSL,No,No,Credit card,Yes,0,No,No,0,1
CUST-10152,66,One year,38.97,2521.96,Fiber optic,No,No,Credit card,No,0,Yes,No,3,0
CUST-10153,21,One year,35.62,762.97,DSL,Yes,No,Bank transfer,Yes,1,Yes,No,2,0
CUST-10154,31,One year,95.78,2923.51,No,No,Yes,Electronic check,Yes,0,No,No,1,0
CUST-10155,48,Two year,19.66,912.35,Fiber optic,No,Yes,Credit card,Yes,0,Yes,No,0,0
CUST-10156,9,Month-to-month,96.93,894.04,No,Yes,Yes,Mailed check,No,0,No,Yes,0,1
CUST-10157,40,Month-to-month,60.04,2236.15,No,No,No,Electronic check,Yes,0,Yes,Yes,4,0
CUST-10158,36,Month-to-month,62.12,2078.09,DSL,Yes,Yes,Credit card,Yes,0,No,Yes,0,0
CUST-10159,57,Month-to-month,18.0,1014.17,Fiber optic,No,No,Electronic check,Yes,1,Yes,Yes,0,1
CUST-10160,72,Month-to-month,60.6,4135.65,DSL,No,Yes,Mailed check,Yes,1,No,No,0,1
CUST-10161,48,Month-to-month,83.41,3967.91,No,Yes,No,Electronic check,Yes,0,No,Yes,1,1
CUST-10162,29,Month-to-month,24.91,710.53,Fiber optic,No,No,Mailed check,No,0,Yes,Yes,2,0
CUST-10163,29,Month-to-month,79.96,2266.12,Fiber optic,No,Yes,Credit card,Yes,0,No,No,3,0
CUST-10164,30,Two year,67.67,2019.93,No,No,No,Electronic check,Yes,0,No,No,1,0
CUST-10165,59,Month-to-month,45.69,2517.5,No,No,No,Electronic check,No,0,Yes,No,1,0
CUST-10166,23,Two year,90.64,2170.94,No,No,No,Credit card,No,1,No,No,1,0
CUST-10167,12,Month-to-month,18.0,218.33,DSL,Yes,No,Electronic check,No,0,Yes,No,1,1
CUST-10168,24,Month-to-month,75.4,1841.49,DSL,Yes,No,Electronic check,Yes,0,No,No,1,1
CUST-10169,1,Month-to-month,113.58,210.07,DSL,No,No,Bank transfer,No,0,No,Yes,2,0
CUST-10170,7,Month-to-month,108.2,819.54,Fiber optic,No,No,Mailed check,Yes,0,Yes,No,0,1
CUST-10171,6,Month-to-month,76.69,509.95,Fiber optic,No,Yes,Credit card,Yes,0,Yes,No,4,0
CUST-10172,56,Month-to-month,55.95,2968.03,DSL,No,No,Electronic check,Yes,0,No,No,2,1
CUST-10173,52,Month-to-month,45.93,2275.73,Fiber optic,No,Yes,Bank transfer,Yes,0,Yes,Yes,0,0
CUST-10174,50,Month-to-month,55.91,2690.39,DSL,No,No,Credit card,Yes,1,No,No,4,0
CUST-10175,33,One year,81.31,2719.25,Fiber optic,No,Yes,Bank transfer,No,0,No,No,3,0
CUST-10176,52,Month-to-month,40.78,2053.28,No,No,No,Electronic check,Yes,0,Yes,No,1,0
CUST-10177,11,Two year,87.72,956.7,Fiber optic,No,Yes,Electronic check,Yes,0,Yes,No,0,1
CUST-10178,65,Month-to-month,120.0,7299.61,Fiber optic,No,Yes,Electronic check,Yes,0,No,No,0,1
CUST-10179,36,Two year,63.14,2332.91,DSL,No,Yes,Credit card,Yes,0,Yes,No,0,0
CUST-10180,68,One year,24.67,1547.31,DSL,No,Yes,Electronic check,No,0,Yes,No,1,0
CUST-10181,11,Two year,24.66,285.5,Fiber optic,No,Yes,Electronic check,No,0,No,No,2,1
CUST-10182,36,Two year,88.3,3009.38,Fiber optic,Yes,No,Mailed check,No,1,No,No,5,0
CUST-10183,50,Month-to-month,63.21,3040.58,DSL,No,Yes,Mailed check,No,1,No,No,2,0
CUST-10184,36,Month-to-month,91.3,3160.89,No,No,Yes,Electronic check,Yes,1,Yes,No,3,1
CUST-10185,32,Month-to-month,48.99,1612.98,Fiber optic,No,Yes,Mailed check,Yes,0,No,No,1,1
CUST-10186,12,Two year,89.92,1116.51,No,Yes,Yes,Credit card,Yes,0,Yes,No,3,0
CUST-10187,27,One year,60.25,1560.46,Fiber optic,No,No,Electronic check,No,0,Yes,Yes,2,1
CUST-10188,17,Month-to-month,43.02,743.66,No,No,Yes,Credit card,Yes,0,No,No,2,1
CUST-10189,22,Two year,52.97,1105.18,DSL,No,No,Bank transfer,Yes,0,Yes,No,0,1
CUST-10190,49,Month-to-month,29.09,1443.83,DSL,Yes,No,Mailed check,Yes,0,No,No,1,0
CUST-10191,46,One year,120.0,5270.15,No,No,No,Bank transfer,Yes,0,No,No,1,0
CUST-10192,44,One year,62.11,2762.35,No,Yes,No,Mailed check,No,0,Yes,No,1,1
CUST-10193,26,Month-to-month,84.34,2233.73,Fiber optic,Yes,Yes,Electronic check,No,0,No,No,1,1
CUST-10194,70,One year,48.89,3188.91,DSL,Yes,No,Electronic check,Yes,1,No,No,5,0
CUST-10195,6,Two year,33.44,233.2,DSL,No,No,Electronic check,Yes,0,No,No,0,1
CUST-10196,25,Month-to-month,57.98,1506.23,Fiber optic,No,Yes,Bank transfer,Yes,0,Yes,Yes,3,1
CUST-10197,8,Month-to-month,98.04,865.18,No,No,No,Electronic check,Yes,0,Yes,No,1,1
CUST-10198,24,Month-to-month,49.38,1166.79,DSL,No,Yes,Electronic check,Yes,0,No,Yes,2,1
CUST-10199,70,One year,38.88,2670.09,DSL,No,No,Electronic check,Yes,0,No,No,4,0
CUST-10200,26,Month-to-month,69.66,1707.91,Fiber optic,No,No,Electronic check,Yes,1,Yes,Yes,2,1
CUST-10201,66,Two year,79.97,5315.73,Fiber optic,Yes,Yes,Credit card,No,0,Yes,No,0,1
CUST-10202,36,Two year,114.29,3899.63,Fiber optic,Yes,Yes,Electronic check,No,0,No,No,2,0
CUST-10203,51,Month-to-month,75.61,3820.34,Fiber optic,Yes,No,Bank transfer,Yes,1,No,Yes,1,1
CUST-10204,33,Month-to-month,84.32,2809.98,No,No,Yes,Mailed check,No,0,No,Yes,0,1
CUST-10205,19,One year,86.58,1726.33,DSL,No,No,Electronic check,No,0,No,Yes,1,1
CUST-10206,55,One year,30.41,1672.96,Fiber optic,No,Yes,Mailed check,Yes,0,No,No,3,0
CUST-10207,70,Month-to-month,36.1,2516.46,Fiber optic,No,Yes,Electronic check,Yes,0,Yes,No,1,1
CUST-10208,19,Month-to-month,32.48,630.46,Fiber optic,Yes,No,Mailed check,Yes,0,No,No,3,1
CUST-10209,56,Month-to-month,25.04,1366.86,No,No,No,Credit card,Yes,0,Yes,No,3,0
CUST-10210,19,Two year,88.86,1606.92,Fiber optic,No,No,Bank transfer,Yes,0,Yes,No,0,1
CUST-10211,52,Month-to-month,73.7,3895.44,Fiber optic,Yes,No,Credit card,Yes,1,No,Yes,3,1
CUST-10212,57,Two year,67.38,3692.7,DSL,No,Yes,Bank transfer,No,0,Yes,Yes,1,0
CUST-10213,32,Month-to-month,18.0,581.93,Fiber optic,No,No,Credit card,No,0,No,No,1,0
CUST-10214,53,Two year,120.0,6076.48,DSL,Yes,Yes,Electronic check,Yes,0,Yes,Yes,1,0
CUST-10215,19,Month-to-month,38.17,721.88,DSL,Yes,Yes,Electronic check,No,0,Yes,No,1,0
CUST-10216,5,Month-to-month,120.0,681.29,Fiber optic,Yes,Yes,Mailed check,No,0,No,Yes,0,1
CUST-10217,7,Two year,21.52,171.99,Fiber optic,No,No,Bank transfer,Yes,0,Yes,No,1,0
CUST-10218,32,Two year,40.63,1235.05,No,No,Yes,Credit card,Yes,0,No,Yes,1,0
CUST-10219,65,Month-to-month,18.0,1128.81,Fiber optic,No,Yes,Electronic check,No,1,No,Yes,3,0
CUST-10220,9,Month-to-month,75.86,694.47,No,Yes,No,Electronic check,No,0,Yes,Yes,1,0
CUST-10221,33,Month-to-month,31.96,1031.67,DSL,No,Yes,Credit card,No,0,Yes,No,2,0
CUST-10222,51,Month-to-month,32.81,1628.66,Fiber optic,No,No,Bank transfer,Yes,0,Yes,Yes,1,0
CUST-10223,14,Month-to-month,23.82,326.45,No,No,Yes,Mailed check,No,0,Yes,No,1,1
CUST-10224,52,Two year,88.32,4539.71,Fiber optic,No,Yes,Electronic check,Yes,0,No,No,1,0
CUST-10225,22,Month-to-month,86.34,1951.66,No,No,No,Bank transfer,Yes,0,Yes,No,1,0
CUST-10226,59,One year,119.36,7029.85,Fiber optic,No,No,Credit card,Yes,0,Yes,No,2,0
CUST-10227,42,Month-to-month,44.43,1858.76,DSL,No,No,Electronic check,No,0,Yes,No,1,1
CUST-10228,39,Month-to-month,71.56,2616.49,Fiber optic,Yes,No,Electronic check,Yes,0,No,No,2,1
CUST-10229,12,One year,26.32,329.21,DSL,No,Yes,Credit card,Yes,0,Yes,No,1,0
CUST-10230,33,Month-to-month,54.95,1811.94,DSL,No,No,Credit card,No,0,Yes,No,2,0
CUST-10231,62,One year,49.43,3039.15,DSL,Yes,No,Electronic check,Yes,1,No,No,4,0
CUST-10232,1,Month-to-month,78.93,153.27,DSL,Yes,No,Bank transfer,No,1,Yes,Yes,4,1
CUST-10233,55,Two year,95.51,5150.02,Fiber optic,No,Yes,Credit card,Yes,1,No,No,0,0
CUST-10234,35,One year,94.73,3317.43,No,Yes,Yes,Electronic check,Yes,0,Yes,No,1,0
CUST-10235,52,Two year,39.72,2074.07,Fiber optic,Yes,Yes,Electronic check,Yes,0,No,No,1,0
CUST-10236,48,Month-to-month,94.95,4452.17,No,No,No,Electronic check,No,0,Yes,No,2,0
CUST-10237,31,Month-to-month,63.68,1863.59,Fiber optic,Yes,Yes,Credit card,No,1,Yes,No,2,0
CUST-10238,22,Month-to-month,55.26,1247.59,DSL,Yes,No,Credit card,Yes,1,No,No,1,0
CUST-10239,45,Month-to-month,43.74,1943.84,DSL,Yes,Yes,Electronic check,No,0,No,Yes,1,0
CUST-10240,10,Month-to-month,48.2,513.58,No,Yes,No,Electronic check,No,0,No,No,0,0
CUST-10241,42,Month-to-month,117.27,4686.71,Fiber optic,No,Yes,Bank transfer,Yes,0,Yes,No,1,0
CUST-10242,6,Month-to-month,74.22,475.36,No,No,No,Credit card,Yes,0,Yes,Yes,1,1
CUST-10243,47,Month-to-month,70.24,3297.59,DSL,Yes,No,Credit card,No,0,No,No,1,0
CUST-10244,45,Month-to-month,57.13,2378.17,Fiber optic,No,No,Electronic check,Yes,0,Yes,Yes,0,0
CUST-10245,6,Month-to-month,120.0,789.8,Fiber optic,No,Yes,Mailed check,No,0,Yes,Yes,1,1
CUST-10246,55,Month-to-month,104.15,5545.95,No,Yes,No,Electronic check,Yes,0,No,No,4,1
CUST-10247,30,One year,43.37,1212.37,DSL,No,Yes,Electronic check,No,0,No,No,0,0
CUST-10248,57,Month-to-month,56.79,3161.08,No,Yes,No,Bank transfer,No,0,No,No,2,0
CUST-10249,3,Month-to-month,58.57,213.65,Fiber optic,Yes,No,Mailed check,Yes,0,Yes,Yes,5,0
CUST-10250,13,Month-to-month,69.38,897.64,No,Yes,Yes,Bank transfer,Yes,0,Yes,No,0,1
CUST-10251,36,One year,43.96,1625.47,Fiber optic,Yes,No,Mailed check,No,0,No,No,1,0
CUST-10252,13,Month-to-month,78.16,1046.12,Fiber optic,No,No,Bank transfer,No,0,No,No,2,0
